,STATE/UT,DISTRICT,Year,Rape,Kidnapping and Abduction,Dowry Deaths,Assault,Insult to modesty,Cruelty by Husband or his Relatives,Importation of Girls
522,ODISHA,KEONJHAR,2013,115,83,29,244,20,194,0
523,ODISHA,KHURDA,2013,33,56,17,105,8,127,0
524,ODISHA,KORAPUT,2013,77,52,5,112,8,63,0
525,ODISHA,MALKANGIR,2013,15,16,2,39,6,14,0
526,ODISHA,MAYURBHANJ,2013,142,117,19,343,13,102,0
527,ODISHA,NAYAGARH,2013,30,46,13,13,2,23,0
528,ODISHA,NOWRANGPUR,2013,67,70,0,111,13,68,0
529,ODISHA,NUAPADA,2013,24,40,7,120,14,23,0
530,ODISHA,PURI,2013,58,78,24,56,5,181,0
531,ODISHA,RAYAGADA,2013,78,82,3,136,10,48,0
532,ODISHA,ROURKELA,2013,71,59,5,134,17,32,0
533,ODISHA,SAMBALPUR,2013,81,46,9,63,7,37,0
534,ODISHA,SONEPUR,2013,17,12,1,67,1,44,0
535,ODISHA,SRP(CUTTACK),2013,0,0,0,3,0,1,0
536,ODISHA,SRP(ROURKELA),2013,1,5,0,15,0,0,0
537,ODISHA,SUNDARGARH,2013,53,32,8,88,3,25,0
538,ODISHA,ZZ TOTAL,2013,1832,2067,395,4618,426,2792,0
497,ODISHA,ANGUL,2014,44,66,4,146,8,30,0
498,ODISHA,BALASORE,2014,110,182,2,566,26,380,0
499,ODISHA,BARAGARH,2014,56,41,7,114,9,80,0
500,ODISHA,BERHAMPUR,2014,30,36,0,162,24,118,0
501,ODISHA,BHADRAK,2014,63,98,24,178,5,168,0
502,ODISHA,BOLANGIR,2014,56,106,19,211,10,47,0
503,ODISHA,BOUDH,2014,24,30,2,68,3,14,0
504,ODISHA,CUTTACK,2014,58,85,27,29,9,28,0
505,ODISHA,DCP BBSR,2014,72,103,27,53,12,104,0
506,ODISHA,DCP CTC,2014,66,119,21,82,5,155,0
507,ODISHA,DEOGARH,2014,32,14,1,46,1,23,0
508,ODISHA,DHENKANAL,2014,43,59,11,388,28,45,0
509,ODISHA,GAJAPATI,2014,19,16,3,84,4,9,0
510,ODISHA,GANJAM,2014,85,97,13,410,50,79,0
511,ODISHA,JAGATSINGHPUR,2014,37,68,26,208,4,119,0
512,ODISHA,JAJPUR,2014,73,116,49,238,16,52,0
513,ODISHA,JHARSUGUDA,2014,42,21,9,108,4,51,0
514,ODISHA,KALAHANDI,2014,101,154,12,215,14,125,0
515,ODISHA,KANDHAMAL,2014,54,32,4,121,9,35,0
516,ODISHA,KENDRAPARA,2014,48,81,32,154,19,217,0
517,ODISHA,KEONJHAR,2014,103,80,11,293,14,65,0
518,ODISHA,KHURDA,2014,39,74,22,103,21,37,0
519,ODISHA,KORAPUT,2014,94,69,4,152,5,46,0
520,ODISHA,MALKANGIRI,2014,19,11,4,29,5,16,0
521,ODISHA,MAYURBHANJ,2014,139,126,32,324,21,270,0
522,ODISHA,NAYAGARH,2014,23,33,7,37,2,23,0
523,ODISHA,NABARANGPUR,2014,73,97,1,194,12,93,0
524,ODISHA,NUAPADA,2014,26,42,5,136,4,91,0
525,ODISHA,PURI,2014,68,123,32,151,7,176,0
526,ODISHA,RAYAGADA,2014,59,64,0,102,5,121,0
527,ODISHA,ROURKELA,2014,73,67,4,174,11,139,0
528,ODISHA,SAMBALPUR,2014,81,63,10,108,9,44,0
529,ODISHA,SONEPUR,2014,18,23,4,46,0,29,0
530,ODISHA,SRP (CUTTACK),2014,0,2,0,9,1,1,0
531,ODISHA,SRP (ROURKELA),2014,1,3,0,10,1,0,0
532,ODISHA,SUNDARGARH,2014,49,35,12,94,1,84,0
533,ODISHA,TOTAL DISTRICT(S),2014,1978,2436,441,5543,379,3114,0
510,ODISHA,ANGUL,2015,55,79,1,287,17,164,0
511,ODISHA,BALASORE,2015,125,194,0,591,17,97,0
512,ODISHA,BARAGARH,2015,85,88,17,320,20,171,0
513,ODISHA,BERHAMPUR,2015,40,54,0,95,21,236,0
514,ODISHA,BHADRAK,2015,79,126,12,259,19,177,0
515,ODISHA,BOLANGIR,2015,73,94,12,315,9,85,0
516,ODISHA,BOUDH,2015,27,14,8,113,4,23,0
517,ODISHA,CUTTACK,2015,46,70,0,55,18,29,0
518,ODISHA,DCP BBSR,2015,87,140,22,130,20,143,0
519,ODISHA,DCP CTC,2015,40,106,14,73,2,45,0
520,ODISHA,DEOGARH,2015,24,23,2,126,12,31,0
521,ODISHA,DHENKANAL,2015,50,47,13,442,34,43,0
522,ODISHA,GAJAPATI,2015,26,5,2,78,1,10,0
523,ODISHA,GANJAM,2015,91,112,19,184,33,112,0
524,ODISHA,JAGATSINGHPUR,2015,48,68,27,195,15,114,0
525,ODISHA,JAJPUR,2015,125,121,46,189,19,194,0
526,ODISHA,JHARSUGUDA,2015,45,24,4,114,2,51,0
527,ODISHA,KALAHANDI,2015,67,105,7,382,25,180,0
528,ODISHA,KANDHAMAL,2015,80,76,7,80,16,217,0
529,ODISHA,KENDRAPARA,2015,44,78,18,196,21,228,0
530,ODISHA,KEONJHAR,2015,107,75,11,309,11,93,0
531,ODISHA,KHURDA,2015,50,53,17,74,19,116,0
532,ODISHA,KORAPUT,2015,119,86,12,164,9,154,0
533,ODISHA,MALKANGIRI,2015,28,24,4,66,5,14,0
534,ODISHA,MAYURBHANJ,2015,154,126,0,301,28,242,0
535,ODISHA,NAYAGARH,2015,35,52,20,79,4,21,0
536,ODISHA,NABARANGPUR,2015,101,110,3,281,20,100,0
537,ODISHA,NUAPADA,2015,24,32,1,97,6,75,0
538,ODISHA,PURI,2015,64,135,26,139,7,70,0
539,ODISHA,RAYAGADA,2015,66,78,5,88,13,56,0
540,ODISHA,ROURKELA,2015,70,83,4,192,5,83,0
541,ODISHA,SAMBALPUR,2015,91,38,14,240,10,129,0
542,ODISHA,SONEPUR,2015,22,16,8,111,4,18,0
543,ODISHA,SRP (CUTTACK),2015,3,3,0,8,0,0,0
544,ODISHA,SRP (ROURKELA),2015,1,6,0,4,2,2,0
545,ODISHA,SUNDARGARH,2015,59,46,0,122,3,82,0
546,ODISHA,"CID, CB",2015,0,0,0,0,0,0,0
547,ODISHA,HRPC,2015,0,0,0,0,1,0,0
548,ODISHA,TOTAL DISTRICT(S),2015,2251,2587,356,6499,472,3605,0
